First Name,Last Name,Team City,Team Name,Number,Height (feet),Height (inches),Weight,Position,Age,College,Salary
Kelly,Oubre Jr.,Charlotte,Hornets,12,6,6,203 lbs,SG,27,Kansas,"$12,600,000"
Nick,Richards,Charlotte,Hornets,4,7,0,245 lbs,C,25,Kentucky,"$1,782,621"
Terry,Rozier,Charlotte,Hornets,3,6,1,190 lbs,SG,29,Louisville,"$21,486,283"
Dennis,Smith Jr.,Charlotte,Hornets,8,6,2,205 lbs,PG,25,NC State,"$1,836,090"
JT,Thor,Charlotte,Hornets,21,6,9,203 lbs,F,20,Auburn,"$1,563,518"
P.J.,Washington,Charlotte,Hornets,25,6,7,230 lbs,PF,24,Kentucky,"$5,808,435"
Mark,Williams,Charlotte,Hornets,5,7,0,240 lbs,C,21,Duke,"$3,722,040"
Harrison,Barnes,Sacramento,Kings,40,6,8,225 lbs,SF,30,North Carolina,"$18,352,273"
Terence,Davis,Sacramento,Kings,3,6,4,201 lbs,SG,25,Ole Miss,"$4,000,000"
Matthew,Dellavedova,Sacramento,Kings,8,6,3,200 lbs,PG,32,Saint Mary's,"$1,836,090"
PJ,Dozier,Sacramento,Kings,35,6,6,205 lbs,G,26,South Carolina,"$1,910,860"
Kessler,Edwards,Sacramento,Kings,14,6,7,203 lbs,SF,22,Pepperdine,"$1,637,966"
Keon,Ellis,Sacramento,Kings,23,6,3,175 lbs,G,23,Alabama,--
De'Aaron,Fox,Sacramento,Kings,5,6,3,185 lbs,PG,25,Kentucky,"$28,103,550"
Richaun,Holmes,Sacramento,Kings,22,6,9,235 lbs,F,29,Bowling Green,"$11,215,260"
Kevin,Huerter,Sacramento,Kings,9,6,7,198 lbs,SG,24,Maryland,"$14,508,929"
Alex,Len,Sacramento,Kings,25,7,1,250 lbs,C,29,Maryland,"$3,918,000"
Trey,Lyles,Sacramento,Kings,41,6,9,234 lbs,PF,27,Kentucky,"$2,700,000"
Chimezie,Metu,Sacramento,Kings,7,6,9,225 lbs,PF,26,USC,"$1,910,680"
Davion,Mitchell,Sacramento,Kings,15,6,0,202 lbs,PG,24,Baylor,"$4,833,600"
Malik,Monk,Sacramento,Kings,0,6,3,200 lbs,SG,25,Kentucky,"$9,472,219"
Keegan,Murray,Sacramento,Kings,13,6,8,215 lbs,SF,22,Iowa,"$8,008,440"
Neemias,Queta,Sacramento,Kings,88,7,0,248 lbs,C,23,Utah State,--
Domantas,Sabonis,Sacramento,Kings,10,7,0,240 lbs,PF,26,Gonzaga,"$18,500,000"
D.J.,Augustin,Houston,Rockets,4,5,11,183 lbs,G,35,Texas,--
Willie,Cauley-Stein,Houston,Rockets,2,7,0,240 lbs,C,29,Kentucky,"$4,100,000"
Josh,Christopher,Houston,Rockets,9,6,4,215 lbs,SG,21,Arizona State,"$2,372,160"
Darius,Days,Houston,Rockets,5,6,7,245 lbs,F,23,LSU,--
Tari,Eason,Houston,Rockets,17,6,8,215 lbs,F,21,LSU,"$3,309,160"
Usman,Garuba,Houston,Rockets,16,6,8,229 lbs,PF,21,--,"$2,471,160"
Jalen,Green,Houston,Rockets,4,6,4,186 lbs,SG,21,--,"$9,441,840"
Trevor,Hudgins,Houston,Rockets,12,6,0,180 lbs,G,24,Northwest Missouri State,--
Frank,Kaminsky,Houston,Rockets,33,7,0,240 lbs,PF,29,Wisconsin,"$1,836,090"
Boban,Marjanovic,Houston,Rockets,51,7,4,290 lbs,C,34,--,"$601,478"
Kenyon,Martin Jr.,Houston,Rockets,6,6,7,215 lbs,F,22,--,"$1,782,621"
Daishen,Nix,Houston,Rockets,15,6,4,226 lbs,SG,21,--,"$1,563,518"
Kevin,Porter Jr.,Houston,Rockets,3,6,4,203 lbs,SG,22,USC,"$3,217,631"
Alperen,Sengun,Houston,Rockets,28,6,11,243 lbs,C,20,--,"$3,375,480"
Jabari,Smith Jr.,Houston,Rockets,1,6,11,220 lbs,PF,19,Auburn,"$8,882,640"
Jae'Sean,Tate,Houston,Rockets,8,6,5,230 lbs,SF,27,Ohio State,"$7,065,217"
TyTy,Washington Jr.,Houston,Rockets,0,6,3,195 lbs,G,21,Kentucky,"$2,210,040"
Bam,Adebayo,Miami,Heat,13,6,9,255 lbs,C,25,Kentucky,"$30,351,780"
Jimmy,Butler,Miami,Heat,22,6,7,230 lbs,SF,33,Marquette,"$37,653,300"
Jamal,Cain,Miami,Heat,8,6,7,191 lbs,F,24,Oakland,--
Udonis,Haslem,Miami,Heat,40,6,8,235 lbs,PF,42,Florida,"$1,836,090"
Tyler,Herro,Miami,Heat,14,6,5,195 lbs,PG,23,Kentucky,"$5,722,116"
Haywood,Highsmith,Miami,Heat,24,6,4,220 lbs,F,26,Wheeling Jesuit,"$1,752,638"
Nikola,Jovic,Miami,Heat,5,6,10,205 lbs,F,19,--,"$2,239,920"
Kevin,Love,Miami,Heat,42,6,8,251 lbs,PF,34,UCLA,"$3,114,138"
Kyle,Lowry,Miami,Heat,7,6,0,196 lbs,PG,37,Villanova,"$28,333,334"
Caleb,Martin,Miami,Heat,16,6,5,205 lbs,SF,27,Nevada,"$6,479,000"
Victor,Oladipo,Miami,Heat,4,6,4,213 lbs,SG,30,Indiana,"$8,750,000"
Duncan,Robinson,Miami,Heat,55,6,7,215 lbs,F,28,Michigan,"$16,902,000"
Orlando,Robinson,Miami,Heat,25,7,0,235 lbs,C,22,Fresno State,--
Max,Strus,Miami,Heat,31,6,5,215 lbs,SG,26,DePaul,"$1,815,677"
Gabe,Vincent,Miami,Heat,2,6,3,200 lbs,PG,26,UC Santa Barbara,"$1,815,677"
Omer,Yurtseven,Miami,Heat,77,6,11,275 lbs,C,24,Georgetown,"$1,752,638"
Cody,Zeller,Miami,Heat,44,6,11,240 lbs,C,30,Indiana,"$517,060"
Davis,Bertans,Dallas,Mavericks,44,6,10,225 lbs,SF,30,--,"$16,000,000"
Reggie,Bullock,Dallas,Mavericks,25,6,6,205 lbs,SF,32,North Carolina,"$10,012,800"
Luka,Doncic,Dallas,Mavericks,77,6,7,230 lbs,PG,24,--,"$37,095,000"
Josh,Green,Dallas,Mavericks,8,6,6,200 lbs,SG,22,Arizona,"$3,098,400"
Tim,Hardaway Jr.,Dallas,Mavericks,11,6,5,205 lbs,SF,31,Michigan,"$19,602,273"
Jaden,Hardy,Dallas,Mavericks,3,6,3,198 lbs,G,20,--,"$1,017,781"
Justin,Holiday,Dallas,Mavericks,0,6,6,180 lbs,SF,33,Washington,"$569,821"
Kyrie,Irving,Dallas,Mavericks,2,6,2,195 lbs,PG,31,Duke,"$38,917,057"
Maxi,Kleber,Dallas,Mavericks,42,6,10,240 lbs,PF,31,--,"$9,000,000"
A.J.,Lawson,Dallas,Mavericks,9,6,6,179 lbs,G,22,South Carolina,--
JaVale,McGee,Dallas,Mavericks,00,7,0,270 lbs,C,35,Nevada,"$5,461,219"
Markieff,Morris,Dallas,Mavericks,13,6,9,245 lbs,PF,33,Kansas,"$1,836,090"
Frank,Ntilikina,Dallas,Mavericks,21,6,4,200 lbs,PG,24,--,"$2,036,318"
Theo,Pinson,Dallas,Mavericks,1,6,7,212 lbs,G,27,North Carolina,"$1,836,090"
Dwight,Powell,Dallas,Mavericks,7,6,10,240 lbs,C,31,Stanford,"$11,080,125"
Christian,Wood,Dallas,Mavericks,35,6,9,214 lbs,F,27,UNLV,"$14,317,460"
McKinley,Wright IV,Dallas,Mavericks,23,5,11,192 lbs,PG,24,Colorado,--
Cole,Anthony,Orlando,Magic,50,6,3,185 lbs,PG,22,North Carolina,"$3,613,680"
Paolo,Banchero,Orlando,Magic,5,6,10,250 lbs,PF,20,Duke,"$11,055,120"
Goga,Bitadze,Orlando,Magic,88,6,11,250 lbs,C,23,--,"$612,181"
Bol,Bol,Orlando,Magic,10,7,2,220 lbs,C,23,Oregon,"$2,200,000"
Wendell,Carter Jr.,Orlando,Magic,34,6,10,270 lbs,C,23,Duke,"$14,150,000"
Michael,Carter-Williams,Orlando,Magic,11,6,5,190 lbs,G,31,Syracuse,"$652,829"
Markelle,Fultz,Orlando,Magic,20,6,4,209 lbs,PG,24,Washington,"$16,500,000"
Gary,Harris,Orlando,Magic,14,6,4,210 lbs,SG,28,Michigan State,"$13,000,000"
Kevon,Harris,Orlando,Magic,7,6,6,216 lbs,G,25,Stephen F. Austin,--
Caleb,Houstan,Orlando,Magic,2,6,8,205 lbs,G,20,Michigan,"$2,000,000"
Jonathan,Isaac,Orlando,Magic,1,6,10,230 lbs,PF,25,Florida State,"$17,400,000"
Chuma,Okeke,Orlando,Magic,3,6,8,229 lbs,PF,24,Auburn,"$3,433,320"
Admiral,Schofield,Orlando,Magic,25,6,5,241 lbs,SF,25,Tennessee,"$516,508"
Jay,Scrubb,Orlando,Magic,0,6,5,220 lbs,G,22,John A. Logan College,--
Jalen,Suggs,Orlando,Magic,4,6,5,205 lbs,SG,21,Gonzaga,"$6,922,320"
Franz,Wagner,Orlando,Magic,22,6,10,220 lbs,SF,21,Michigan,"$5,258,280"
Moritz,Wagner,Orlando,Magic,21,6,11,245 lbs,C,25,Michigan,"$1,878,720"
Steven,Adams,Memphis,Grizzlies,4,6,11,265 lbs,C,29,Pittsburgh,"$17,926,829"
Santi,Aldama,Memphis,Grizzlies,7,6,11,215 lbs,PF,22,Loyola (MD),"$2,094,240"
Desmond,Bane,Memphis,Grizzlies,22,6,5,215 lbs,SG,24,TCU,"$2,130,240"
Dillon,Brooks,Memphis,Grizzlies,24,6,7,225 lbs,SF,27,Oregon,"$11,400,000"
Kennedy,Chandler,Memphis,Grizzlies,1,6,0,171 lbs,G,20,Tennessee,"$1,200,000"
Brandon,Clarke,Memphis,Grizzlies,15,6,8,215 lbs,PF,26,Gonzaga,"$4,343,920"
Jaren,Jackson Jr.,Memphis,Grizzlies,13,6,11,242 lbs,PF,23,Michigan State,"$28,946,605"
Tyus,Jones,Memphis,Grizzlies,21,6,0,196 lbs,PG,26,Duke,"$1,500,000"
Luke,Kennard,Memphis,Grizzlies,10,6,5,206 lbs,SG,26,Duke,"$14,415,545"
John,Konchar,Memphis,Grizzlies,46,6,5,210 lbs,SG,27,--,"$2,300,000"
Jake,LaRavia,Memphis,Grizzlies,3,6,8,235 lbs,F,21,Wake Forest,"$3,047,640"
Kenneth,Lofton Jr.,Memphis,Grizzlies,6,6,7,275 lbs,F,20,Louisiana Tech,--
Ja,Morant,Memphis,Grizzlies,12,6,3,174 lbs,PG,23,Murray State,"$9,603,360"
David,Roddy,Memphis,Grizzlies,27,6,5,252 lbs,F,21,Colorado State,"$2,588,640"
Xavier,Tillman,Memphis,Grizzlies,2,6,8,245 lbs,F,24,Michigan State,"$1,901,625"
Ziaire,Williams,Memphis,Grizzlies,8,6,9,185 lbs,F,21,Stanford,"$4,591,680"
Vince,Williams Jr.,Memphis,Grizzlies,5,6,6,205 lbs,G,22,Virginia Commonwealth,--
Deni,Avdija,Washington,Wizards,9,6,9,210 lbs,SF,22,--,"$4,916,160"
Bradley,Beal,Washington,Wizards,3,6,4,207 lbs,SG,29,Florida,"$43,279,250"
Xavier,Cooks,Washington,Wizards,12,6,8,185 lbs,G,27,Winthrop,"$140,384"
Johnny,Davis,Washington,Wizards,1,6,4,195 lbs,G,21,Wisconsin,"$4,810,320"
Daniel,Gafford,Washington,Wizards,21,6,10,234 lbs,C,24,Arkansas,"$1,930,681"
Taj,Gibson,Washington,Wizards,67,6,9,232 lbs,F,37,USC,"$1,836,090"
Anthony,Gill,Washington,Wizards,16,6,8,230 lbs,PF,30,Virginia,"$1,836,090"
Jordan,Goodwin,Washington,Wizards,7,6,3,200 lbs,G,24,Saint Louis,"$900,000"
Jay,Huff,Washington,Wizards,30,7,1,240 lbs,C,24,Virginia,--
Quenton,Jackson,Washington,Wizards,29,6,5,173 lbs,G,24,Texas A&M,--
Corey,Kispert,Washington,Wizards,24,6,6,224 lbs,SF,24,Gonzaga,"$3,552,960"
Kyle,Kuzma,Washington,Wizards,33,6,9,221 lbs,SF,27,Utah,"$13,000,000"
Monte,Morris,Washington,Wizards,22,6,2,183 lbs,PG,27,Iowa State,"$9,125,000"
Kendrick,Nunn,Washington,Wizards,20,6,3,190 lbs,G,27,Oakland,"$5,250,000"
Kristaps,Porzingis,Washington,Wizards,6,7,3,240 lbs,C,27,--,"$33,833,400"
Isaiah,Todd,Washington,Wizards,14,6,9,219 lbs,PF,21,--,"$1,575,000"
Delon,Wright,Washington,Wizards,55,6,5,185 lbs,SG,30,Utah,"$7,804,878"
Jose,Alvarado,New Orleans,Pelicans,15,6,0,179 lbs,PG,24,Georgia Tech,"$1,563,518"
Dyson,Daniels,New Orleans,Pelicans,11,6,7,199 lbs,G,20,--,"$5,508,600"
Jaxson,Hayes,New Orleans,Pelicans,10,7,0,220 lbs,C,22,Texas,"$6,803,012"
Willy,Hernangomez,New Orleans,Pelicans,9,6,11,250 lbs,C,28,--,"$2,443,581"
Brandon,Ingram,New Orleans,Pelicans,14,6,8,190 lbs,SF,25,Duke,"$31,650,600"
Herbert,Jones,New Orleans,Pelicans,5,6,7,206 lbs,SF,24,Alabama,"$1,785,000"
Kira,Lewis Jr.,New Orleans,Pelicans,13,6,1,170 lbs,PG,21,Alabama,"$4,004,280"
E.J.,Liddell,New Orleans,Pelicans,32,6,6,240 lbs,F,22,Ohio State,--
Naji,Marshall,New Orleans,Pelicans,8,6,7,220 lbs,SF,25,Xavier,"$1,782,621"
CJ,McCollum,New Orleans,Pelicans,3,6,3,190 lbs,SG,31,Lehigh,"$33,333,333"
Trey,Murphy III,New Orleans,Pelicans,25,6,8,206 lbs,SG,22,Virginia,"$3,206,640"
Larry,Nance Jr.,New Orleans,Pelicans,22,6,8,245 lbs,PF,30,Wyoming,"$9,672,727"
Josh,Richardson,New Orleans,Pelicans,2,6,6,200 lbs,SG,29,Tennessee,"$11,615,328"
Dereon,Seabron,New Orleans,Pelicans,0,6,5,180 lbs,G,22,NC State,--
Garrett,Temple,New Orleans,Pelicans,41,6,6,195 lbs,SF,36,LSU,"$4,910,000"
Jonas,Valanciunas,New Orleans,Pelicans,17,6,11,265 lbs,C,30,--,"$14,700,000"
Zion,Williamson,New Orleans,Pelicans,1,6,6,284 lbs,PF,22,Duke,"$13,534,817"
Dominick,Barlow,San Antonio,Spurs,26,6,9,215 lbs,F,19,--,--
Charles,Bassey,San Antonio,Spurs,28,6,9,230 lbs,C,22,Western Kentucky,"$1,563,518"
Keita,Bates-Diop,San Antonio,Spurs,31,6,8,229 lbs,SF,27,Ohio State,"$1,878,720"
Khem,Birch,San Antonio,Spurs,24,6,8,233 lbs,C,30,UNLV,"$6,667,500"
Malaki,Branham,San Antonio,Spurs,22,6,4,180 lbs,G,19,Ohio State,"$2,925,600"
Julian,Champagnie,San Antonio,Spurs,30,6,7,217 lbs,F,21,St. John's,--
Zach,Collins,San Antonio,Spurs,23,6,11,250 lbs,PF,25,Gonzaga,"$7,350,000"
Gorgui,Dieng,San Antonio,Spurs,41,6,10,265 lbs,C,33,Louisville,"$622,582"
Devonte',Graham,San Antonio,Spurs,4,6,1,195 lbs,PG,28,Kansas,"$11,550,000"
Keldon,Johnson,San Antonio,Spurs,3,6,5,220 lbs,SF,23,Kentucky,"$3,873,025"
Tre,Jones,San Antonio,Spurs,33,6,1,185 lbs,PG,23,Duke,"$1,782,621"
Romeo,Langford,San Antonio,Spurs,35,6,5,216 lbs,SG,23,Indiana,"$5,634,257"
Sandro,Mamukelashvili,San Antonio,Spurs,54,6,10,240 lbs,PF,23,Seton Hall,"$357,717"
Doug,McDermott,San Antonio,Spurs,17,6,6,225 lbs,SF,31,Creighton,"$13,750,000"
Jeremy,Sochan,San Antonio,Spurs,10,6,8,230 lbs,F,19,Baylor,"$5,063,520"
Devin,Vassell,San Antonio,Spurs,24,6,5,200 lbs,SG,22,Florida State,"$4,437,000"
Blake,Wesley,San Antonio,Spurs,14,6,4,185 lbs,G,20,Notre Dame,"$2,385,480"
